Função,Programa,Ação / Projeto / Atividade,Fonte de Recurso Completa,
16,450,1547,101000000,5953.5
,,2224,101000000,42438.53
,,2928,101000000,863204.33
,,4354,101000000,15398113.07
,,,241000000,866963.19
,,4599,101000000,14148.88
,1029,4058,102003069,35240.18
,,,140004702,738723.16
,,,242004065,251623.52
,,,242004636,177579.1
,,,242004638,195118.37
,,4300,101000000,17003574.41
,,,102002513,313790.99
,,,102003082,4479947.99
,,,103002744,448763.72
,,,103002759,21474086.18
,,,119000000,1528695.44
,,,140004702,18673830.6
,,,total,82511795.16
